data;ds_cardapio;num_refeicao_ru;num_refeicao_rl;num_refeicao_rs;num_refeicoes_planejadas;num_refeicoes_servidas
02/01/2012; - BATATA COM QUEIJO - ARROZ BRANCO - FEIJÃO -  -  -  - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G , PEITO DE FRANGO FLOCULADO (NUGGETS);3000.00;0.00;0.00;3.000.000;2.951.000
02/01/2012;SALSICHA AO MOLHO DE TOMATE - ABOBRINHA REFOGADA - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE LISA - LARANJA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;400.00;0.00;0.00;400.000;290.000
03/01/2012;NUGGETS FRITO - CREME DE MILHO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE TOMATE COM MOYASHI -  - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;500.00;0.00;0.00;500.000;406.000
03/01/2012;ALMÔNDEGA AO MOLHO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - MELANCIA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;3300.00;0.00;0.00;3.300.000;3.304.000
04/01/2012;ALMÔNDEGA ACEBOLADA - CENOURA SAUTEE , BERINJELA CURTIDA - ARROZ BRANCO - FEIJÃO - PTS -  - BANANA - CAFÉ - MOLHO VINAGRETE -  -  - ;500.00;0.00;0.00;500.000;505.000
04/01/2012;LINGUIÇA TOSCANA ACEBOLADA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE LISA - LARANJA - CAFÉ - MOLHO VINAGRETE -  -  - ;4000.00;0.00;0.00;4.000.000;3.448.000
05/01/2012;FRANGO ASSADO COM GERGELIM - FAROFA BRASILEIRA - ARROZ BRANCO - FEIJÃO - PTS -  - GELATINA DE CEREJA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;500.00;0.00;0.00;500.000;489.000
05/01/2012;MOQUECA DE PEIXE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE PEPINO COM RABANETE - ARROZ DOCE - CAFÉ , SUCO DE UVA - MOLHO VINAGRETE -  - TEMPERO SELF - ;4000.00;0.00;0.00;4.000.000;3.144.000
06/01/2012;PEIXE À DORÊ - REPOLHO A CHINESA , REPOLHO A CHINESA - ARROZ BRANCO - FEIJÃO -  -  - PUDIM DE PÃO - CAFÉ , CHÁ MATTE COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;400.00;0.00;0.00;400.000;340.000
06/01/2012;BISTECA SUÍNA AO MOLHO DE LIMÃO - VIRADO DE COUVE MANTEIGA - ARROZ BRANCO , ARROZ INTEGRAL - FEIJÃO -  -  -  - CAFÉ , CHÁ MATTE COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;3900.00;0.00;0.00;3.900.000;3.216.000
09/01/2012;QUIBE - MACARRÃO AO SUGO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA COM CENOURA - MAÇA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;4600.00;0.00;0.00;4.600.000;3.674.000
09/01/2012;BISTECA SUÍNA ACEBOLADA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE PEPINO - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;570.00;0.00;0.00;570.000;604.000
10/01/2012;CARNE PICADA COM MILHO - BERINJELA AO MOLHO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;800.00;0.00;0.00;800.000;548.000
10/01/2012;FRANGO AO MOLHO DE TOMATE -  - ARROZ BRANCO , ARROZ À GREGA - FEIJÃO - PTS - SALADA DE ALFACE LISA - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;4600.00;0.00;0.00;4.600.000;3.488.000
11/01/2012;FRANGO COM AZEITONA - ANGU DE FUBÁ - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE COM RABANETE - MELANCIA - CAFÉ -  -  - TEMPERO SELF - ;800.00;0.00;0.00;800.000;649.000
11/01/2012;BIFE AO MOLHO DE LARANJA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO COM TOMATE - CURAU - CAFÉ , CHÁ MATTE COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;4600.00;0.00;0.00;4.600.000;3.662.000
12/01/2012; - CREME DE ERVILHA  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA - LARANJA - CAFÉ - MOLHO VINAGRETE -  -  - ;4600.00;0.00;0.00;4.600.000;3.988.000
12/01/2012;CARNE PICADA AO MOLHO DE MOSTARDA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BATATA BRASILEIRA - MAÇA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;760.00;0.00;0.00;760.000;528.000
13/01/2012;OVOS MEXIDOS COM BACON -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE COM PEPINO - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;4000.00;0.00;0.00;4.000.000;3.120.000
13/01/2012;CARNE MOÍDA COM MILHO VERDE - PURÊ DE BATATA EM FLOCOS COM QUEIJO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA COZIDA - LARANJA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;620.00;0.00;0.00;620.000;496.000
16/01/2012;OVOS MEXIDOS COM BACON - CHUCHU REFOGADO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - MAÇA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;920.00;0.00;0.00;920.000;657.000
16/01/2012;BIFE À CALIFORNIA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA VERDE - BANANA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;4500.00;0.00;0.00;4.500.000;4.030.000
17/01/2012;CARNE PICADA COM CENOURA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO - DOCE DE FIGO EM CALDA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;4800.00;0.00;0.00;4.800.000;4.051.000
17/01/2012;BIFE AO CURRY -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;900.00;0.00;0.00;900.000;650.000
18/01/2012;CARNE PICADA COM MANDIOQUINHA -  - ARROZ BRANCO - FEIJÃO -  - TABULE - GELATINA DE LIMÃO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  -  - ;850.00;0.00;0.00;850.000;709.000
18/01/2012;ALMÔNDEGA AO MOLHO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ACELGA - LARANJA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ESCAROLA , PÃO FRANCÊS DE 20G;4800.00;0.00;0.00;4.800.000;4.196.000
19/01/2012;SALSICHA AO MOLHO COM ERVILHA - PURÊ DE BATATA EM FLOCOS - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE CRESPA - MAÇA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO -  -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;4800.00;0.00;0.00;4.800.000;4.393.000
19/01/2012;FRANGO ASSADO - MACARRÃO AO SUGO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO BICOLOR - LARANJA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;950.00;0.00;0.00;950.000;833.000
20/01/2012;PEIXE FRITO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CENOURA COM MAÇA - LARANJA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;5000.00;0.00;0.00;5.000.000;4.027.000
20/01/2012;OVOS MEXIDOS COM BACON -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE LISA - PUDIM DE CARAMELO - CAFÉ , CHÁ MATTE COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;700.00;0.00;0.00;700.000;539.000
23/01/2012;CARNE PICADA COM MANDIOQUINHA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA COM NABO - BANANA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;5100.00;0.00;0.00;5.100.000;4.368.000
23/01/2012;MOQUECA DE PEIXE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE COUVE COM CEBOLA - LARANJA - CAFÉ - MOLHO VINAGRETE -  -  - PÃO FRANCÊS DE 20G;900.00;0.00;0.00;900.000;644.000
24/01/2012;BIFE AO CURRY -  - ARROZ BRANCO , ARROZ COM ERVILHA E CENOURA - FEIJÃO -  - SALADA DE REPOLHO - MAÇA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  -  - PÃO FRANCÊS DE 20G;5300.00;0.00;0.00;5.300.000;4.472.000
24/01/2012;CARNE PICADA COM BATATA E BACON -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA COZIDA - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;950.00;0.00;0.00;950.000;737.000
25/01/2012;CARNE NUTRITIVA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE TOMATE COM MOYASHI - IOGURTE SABOR MORANGO - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;5300.00;0.00;0.00;5.300.000;4.351.000
25/01/2012;BIFE À PIZZAIOLO - REPOLHO REFOGADO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CENOURA - MAÇA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;950.00;0.00;0.00;950.000;773.000
26/01/2012;ROLÊ DE FRANGO AO MOLHO INGLÊS -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE LISA - SORVETE NO PALITO DE COCO DE 70G - CAFÉ - MOLHO VINAGRETE -  -  - ;5300.00;0.00;0.00;5.300.000;4.022.000
26/01/2012;CARNE MOÍDA COM MANDIOQUINHA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA COM RABANETE - SAGU DE VINHO - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;950.00;0.00;0.00;950.000;716.000
27/01/2012;ISCA DE CARNE COM BATATA - FAROFA COM AZEITONA E OVOS - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE PEPINO COM CEBOLA - LARANJA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;5050.00;0.00;0.00;5.050.000;4.043.000
27/01/2012;ROLÊ DE FRANGO AO MOLHO BRANCO -  - ARROZ BRANCO - FEIJÃO -  - SALADA DE ACELGA - MELANCIA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  -  - PÃO FRANCÊS DE 20G , TOMATE SALADA;800.00;0.00;0.00;800.000;537.000
30/01/2012;FRANGO COM CEBOLAS AÇUCARADAS -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA MULTI-COR - MAÇA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - PÃO FRANCÊS DE 20G;5050.00;0.00;0.00;5.050.000;4.527.000
30/01/2012;ISCA DE CARNE COM CENOURA -  - ARROZ BRANCO , ARROZ DE CARRETEIRO SIMPLES - FEIJÃO - PTS - SALADA DE BERINJELA AO VINAGRETE - BANANA - CAFÉ - MOLHO VINAGRETE -  - TEMPERO SELF - ;1300.00;0.00;0.00;1.300.000;754.000
31/01/2012;CARNE MOÍDA COM VAGEM -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - BANANA , DOCE DE ABÓBORA EM CALDA - CAFÉ , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - BATATA FRITA LISA , PÃO FRANCÊS DE 20G;5300.00;0.00;0.00;5.300.000;4.338.000
31/01/2012;FRANGO FRITO - COUVE REFOGADA - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHUCHU AO VINAGRETE - LARANJA , DOCE DE ABÓBORA EM CALDA - CAFÉ - MOLHO VINAGRETE -  -  - PÃO FRANCÊS DE 20G;1100.00;0.00;0.00;1.100.000;856.000
01/02/2012;CARNE NUTRITIVA -  - ARROZ BRANCO - FEIJÃO - PTS -  - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;900.00;0.00;0.00;900.000;785.000
01/02/2012;PEIXE À PORTUGUESA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5000.00;0.00;0.00;5.000.000;4.516.000
02/02/2012;BIFE À PIZZAIOLO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ACELGA - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5000.00;0.00;0.00;5.000.000;4.467.000
02/02/2012;PEIXE FRITO - CREME DE ERVILHA  - ARROZ BRANCO - FEIJÃO - PTS - TABULE -  - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;900.00;0.00;0.00;900.000;840.000
03/02/2012;COPA LOMBO - CENOURA REFOGADA - ARROZ BRANCO - FEIJÃO -  -  - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;650.00;0.00;0.00;650.000;607.000
03/02/2012;ISCA DE FRANGO COM LEGUMES -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA -  - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5000.00;0.00;0.00;5.000.000;4.274.000
06/02/2012;FRICASSÊ DE FILÉ DE FRANGO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ABOBRINHA ITALIANA - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - BATATA FRITA LISA;970.00;0.00;0.00;970.000;945.000
06/02/2012;SALSICHA AO MOLHO DE TOMATE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO - BARRA DE CEREAL DE FRUTAS SECAS E OLEAGINOSAS, C/25G , DOCE DE FIGO EM CALDA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5020.00;0.00;0.00;5.020.000;4.461.000
07/02/2012;CARNE MOÍDA COM ABÓBORA -  - ARROZ BRANCO , ARROZ COM PASSAS - FEIJÃO - PTS - SALADA DE ALFACE LISA - IOGURTE SABOR MORANGO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5600.00;0.00;0.00;5.600.000;3.911.000
07/02/2012;SALSICHA COM PRESUNTO E ERVILHA - REPOLHO A CHINESA - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BATATA BRASILEIRA - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;930.00;0.00;0.00;930.000;856.000
08/02/2012;FRANGO AO MOLHO DE ESCABECHE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5600.00;0.00;0.00;5.600.000;4.331.000
08/02/2012;CARNE MOÍDA COM BATATA -  - ARROZ BRANCO - FEIJÃO -  - SALADA DE ALFACE CRESPA - IOGURTE SABOR MORANGO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1100.00;0.00;0.00;1.100.000;828.000
